Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,State,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Profit
US-2024-000024,2024-05-17,2024-05-21,Standard Class,CG-19862,Corporate,East,New Jersey,Office Supplies,Binders,2,11.65,0.0,23.3,2.49
US-2024-000025,2022-11-02,2022-11-02,First Class,CG-37535,Home Office,East,Florida,Furniture,Bookcases,4,188.69,0.3,528.32,-2.67
US-2024-000026,2023-05-27,2023-05-28,Standard Class,CG-33206,Home Office,South,Louisiana,Technology,Copiers,5,1299.84,0.0,6499.22,1604.41
US-2024-000027,2024-04-24,2024-04-24,Standard Class,CG-71694,Corporate,South,Kentucky,Technology,Copiers,1,1182.37,0.2,945.9,263.82
US-2024-000028,2023-04-01,2023-04-04,First Class,CG-46585,Corporate,Central,Michigan,Furniture,Chairs,1,256.45,0.0,256.45,8.41
US-2024-000029,2023-12-21,2023-12-27,Second Class,CG-24208,Home Office,Central,Texas,Furniture,Furnishings,1,80.24,0.5,40.12,-14.17
US-2024-000030,2024-06-08,2024-06-13,Second Class,CG-10221,Corporate,South,Louisiana,Technology,Accessories,1,35.39,0.2,28.31,6.89
US-2024-000031,2024-11-30,2024-12-03,Standard Class,CG-62743,Consumer,Central,Indiana,Office Supplies,Art,1,13.72,0.0,13.72,1.76
US-2024-000032,2023-08-29,2023-08-31,Standard Class,CG-47606,Home Office,South,Kentucky,Technology,Copiers,2,641.77,0.0,1283.53,220.66
US-2024-000033,2023-03-07,2023-03-13,Second Class,CG-96356,Home Office,Central,Ohio,Office Supplies,Storage,4,73.83,0.5,147.66,-66.03
US-2024-000034,2022-06-23,2022-06-27,Standard Class,CG-72277,Home Office,Central,Texas,Furniture,Furnishings,1,23.64,0.0,23.64,2.77
US-2024-000035,2022-05-30,2022-06-06,Standard Class,CG-23970,Home Office,East,New Jersey,Technology,Phones,2,230.31,0.0,460.62,90.77
US-2024-000036,2024-05-20,2024-05-23,Standard Class,CG-79616,Home Office,South,Georgia,Technology,Copiers,5,778.1,0.0,3890.49,923.6
US-2024-000037,2023-10-12,2023-10-19,Second Class,CG-93579,Home Office,South,Louisiana,Office Supplies,Binders,3,16.15,0.1,43.62,7.32
US-2024-000038,2023-07-22,2023-07-29,Second Class,CG-29769,Corporate,South,Georgia,Technology,Machines,1,1400.96,0.0,1400.96,302.66
US-2024-000039,2023-04-19,2023-04-25,Second Class,CG-61049,Home Office,East,New York,Office Supplies,Paper,1,18.21,0.1,16.39,4.22
US-2024-000040,2022-02-10,2022-02-16,Standard Class,CG-73993,Corporate,Central,Minnesota,Office Supplies,Paper,2,25.05,0.2,40.08,8.13
US-2024-000041,2023-03-26,2023-03-30,Standard Class,CG-91560,Consumer,South,Tennessee,Technology,Phones,3,37.13,0.3,77.98,-0.31
US-2024-000042,2024-12-29,2024-12-29,First Class,CG-37742,Home Office,West,California,Technology,Phones,1,285.91,0.0,400.27,96.82
US-2024-000043,2024-07-20,2024-07-25,Standard Class,CG-55870,Corporate,Central,Minnesota,Office Supplies,Fasteners,3,7.15,0.0,21.44,2.6
US-2024-000044,2023-04-05,2023-04-06,Second Class,CG-97747,Home Office,West,Colorado,Furniture,Chairs,1,183.81,0.0,183.81,16.48
US-2024-000045,2022-08-23,2022-08-26,Standard Class,CG-50888,Corporate,Central,Illinois,Technology,Accessories,1,62.6,0.1,56.34,9.61
US-2024-000046,2024-02-08,2024-02-14,First Class,CG-25866,Consumer,West,Arizona,Technology,Copiers,5,1144.99,0.15,4866.2,1223.36
US-2024-000047,2022-03-26,2022-03-31,Standard Class,CG-57472,Home Office,Central,Texas,Technology,Machines,2,1516.23,0.0,3032.46,619.06
US-2024-000048,2024-07-30,2024-08-01,Standard Class,CG-42177,Home Office,Central,Indiana,Technology,Phones,2,55.84,0.0,111.68,24.62
US-2024-000049,2022-06-27,2022-07-01,First Class,CG-56507,Consumer,South,Louisiana,Technology,Phones,1,165.71,0.1,149.14,37.28
US-2024-000050,2023-06-14,2023-06-19,Standard Class,CG-72402,Home Office,Central,Indiana,Furniture,Chairs,2,262.22,0.2,419.56,50.72
US-2024-000051,2024-10-02,2024-10-09,Second Class,CG-65771,Consumer,Central,Illinois,Office Supplies,Envelopes,2,6.63,0.1,11.93,2.77
US-2024-000052,2023-11-09,2023-11-14,Second Class,CG-38361,Corporate,Central,Michigan,Furniture,Bookcases,52,237.5,0.5,6174.98,494.0
US-2024-000053,2024-09-18,2024-09-22,Second Class,CG-45954,Home Office,Central,Texas,Furniture,Furnishings,1,27.87,0.0,27.87,3.95
US-2024-000054,2022-04-04,2022-04-04,Standard Class,CG-34164,Home Office,East,New Jersey,Office Supplies,Art,5,15.88,0.1,71.45,8.37
US-2024-000055,2022-04-16,2022-04-20,First Class,CG-49824,Corporate,West,Colorado,Furniture,Tables,1,374.71,0.1,13677.99,1367.8
US-2024-000056,2022-06-24,2022-06-27,Standard Class,CG-84531,Corporate,East,Virginia,Office Supplies,Storage,5,74.14,0.0,370.72,46.36
US-2024-000057,2022-05-04,2022-05-05,First Class,CG-69048,Consumer,East,Massachusetts,Technology,Accessories,1,46.03,0.0,46.03,9.36
US-2024-000058,2024-08-20,2024-08-24,Standard Class,CG-91927,Corporate,Central,Wisconsin,Office Supplies,Art,3,15.27,0.4,27.48,-0.29
US-2024-000059,2023-02-10,2023-02-16,Standard Class,CG-67560,Consumer,East,Massachusetts,Furniture,Bookcases,2,382.06,0.3,534.88,-2.11
US-2024-000060,2022-09-12,2022-09-19,Second Class,CG-89129,Home Office,South,Tennessee,Technology,Phones,2,278.43,0.1,501.18,131.59
US-2024-000061,2023-05-28,2023-05-28,Standard Class,CG-67963,Home Office,West,Colorado,Technology,Machines,2,682.92,0.2,1092.68,248.47
US-2024-000062,2023-07-24,2023-07-26,Same Day,CG-74942,Corporate,South,Georgia,Office Supplies,Labels,66,14.31,0.0,944.75,160.61
US-2024-000063,2023-08-14,2023-08-20,First Class,CG-10150,Home Office,West,Nevada,Furniture,Furnishings,1,52.24,0.0,52.24,4.92
US-2024-000064,2024-08-04,2024-08-10,Standard Class,CG-67424,Home Office,Central,Indiana,Office Supplies,Storage,4,30.57,0.0,122.3,7.44
US-2024-000065,2024-09-19,2024-09-20,Standard Class,CG-24871,Home Office,East,New Jersey,Furniture,Furnishings,2,31.05,0.1,55.89,11.73
US-2024-000066,2024-08-03,2024-08-04,Second Class,CG-82255,Consumer,South,Kentucky,Office Supplies,Supplies,69,42.23,0.0,2914.18,495.41
US-2024-000067,2022-10-24,2022-10-30,Standard Class,CG-49132,Home Office,East,New York,Office Supplies,Paper,1,20.87,0.2,16.69,2.83
US-2024-000068,2024-09-29,2024-10-01,Standard Class,CG-84946,Corporate,Central,Michigan,Technology,Phones,2,226.41,0.0,452.83,103.73
US-2024-000069,2024-02-24,2024-02-27,First Class,CG-96991,Corporate,West,Oregon,Technology,Phones,3,348.96,0.3,732.82,-22.49
US-2024-000070,2022-11-08,2022-11-15,Same Day,CG-95823,Consumer,Central,Minnesota,Furniture,Tables,1,563.55,0.0,563.55,81.38
US-2024-000071,2022-11-13,2022-11-14,Standard Class,CG-51505,Corporate,Central,Indiana,Technology,Phones,5,116.49,0.3,570.79,-17.7
US-2024-000072,2024-09-26,2024-09-26,Second Class,CG-68153,Consumer,Central,Illinois,Technology,Accessories,2,20.51,0.0,41.02,5.43
US-2024-000073,2022-12-07,2022-12-11,First Class,CG-99364,Consumer,Central,Minnesota,Furniture,Furnishings,2,14.76,0.0,29.52,2.42
US-2024-000074,2023-01-04,2023-01-06,Standard Class,CG-70236,Home Office,South,Louisiana,Technology,Copiers,2,1057.49,0.1,1903.48,395.85
US-2024-000075,2023-06-07,2023-06-07,First Class,CG-49210,Corporate,Central,Wisconsin,Technology,Copiers,1,1154.11,0.5,577.06,-287.1
US-2024-000076,2024-05-18,2024-05-22,Standard Class,CG-96275,Corporate,East,Florida,Office Supplies,Art,2,15.84,0.8,6.33,-2.27
US-2024-000077,2024-03-21,2024-03-25,Standard Class,CG-40162,Home Office,West,Arizona,Technology,Phones,4,336.86,0.4,808.46,-9.07
US-2024-000078,2023-12-23,2023-12-26,Second Class,CG-67779,Home Office,Central,Wisconsin,Technology,Copiers,3,425.68,0.0,1787.86,218.15
US-2024-000079,2022-03-10,2022-03-15,Second Class,CG-45720,Consumer,Central,Michigan,Technology,Phones,2,241.58,0.7,144.95,-58.87
US-2024-000080,2022-12-03,2022-12-07,First Class,CG-98647,Corporate,Central,Wisconsin,Office Supplies,Art,2,18.8,0.0,37.61,6.43
US-2024-000081,2024-03-24,2024-03-29,Standard Class,CG-93695,Corporate,West,Oregon,Technology,Accessories,2,42.13,0.15,71.62,12.1
US-2024-000082,2024-01-31,2024-02-01,Second Class,CG-49608,Corporate,West,Arizona,Technology,Machines,5,631.69,0.0,3158.46,903.08
US-2024-000083,2024-04-16,2024-04-17,Standard Class,CG-80804,Consumer,Central,Ohio,Furniture,Bookcases,1,307.67,0.1,276.91,11.95
US-2024-000084,2024-05-08,2024-05-10,First Class,CG-68287,Home Office,West,Colorado,Office Supplies,Paper,6,24.34,0.0,146.04,22.95
US-2024-000085,2023-04-29,2023-05-04,Standard Class,CG-69600,Home Office,Central,Indiana,Technology,Machines,1,839.5,0.0,839.5,268.27
US-2024-000086,2022-07-07,2022-07-10,Second Class,CG-82641,Home Office,West,California,Office Supplies,Envelopes,7,6.55,0.2,36.67,7.19
US-2024-000087,2023-03-01,2023-03-04,First Class,CG-80807,Consumer,Central,Minnesota,Furniture,Bookcases,1,394.63,0.7,118.39,-58.9
US-2024-000088,2023-05-29,2023-05-31,Standard Class,CG-65176,Consumer,East,New York,Office Supplies,Envelopes,1,7.55,0.0,7.55,1.25
US-2024-000089,2024-12-13,2024-12-14,Second Class,CG-96363,Corporate,South,Tennessee,Technology,Accessories,3,43.1,0.2,144.83,30.49
US-2024-000090,2024-12-03,2024-12-07,Standard Class,CG-20589,Consumer,West,Nevada,Office Supplies,Paper,5,16.82,0.0,84.12,9.81
US-2024-000091,2023-10-22,2023-10-24,Standard Class,CG-95814,Corporate,Central,Ohio,Technology,Machines,1,577.39,0.2,461.91,101.41
US-2024-000092,2023-03-17,2023-03-23,Standard Class,CG-59060,Consumer,South,Tennessee,Office Supplies,Paper,2,17.3,0.15,29.4,5.33
US-2024-000093,2022-11-09,2022-11-16,Standard Class,CG-53207,Consumer,West,Nevada,Furniture,Furnishings,2,54.65,0.1,98.37,2.07
US-2024-000094,2022-09-08,2022-09-14,Standard Class,CG-96079,Home Office,South,Kentucky,Furniture,Furnishings,2,29.97,0.0,59.93,3.15
US-2024-000095,2024-09-14,2024-09-17,First Class,CG-94239,Corporate,Central,Texas,Office Supplies,Envelopes,6,10.04,0.3,42.16,-0.81
US-2024-000096,2022-02-23,2022-02-27,Standard Class,CG-92991,Corporate,Central,Michigan,Office Supplies,Appliances,1,29.6,0.0,29.6,4.72
US-2024-000097,2022-03-04,2022-03-05,Second Class,CG-88148,Consumer,South,Alabama,Office Supplies,Labels,1,8.73,0.0,8.73,1.02
US-2024-000098,2022-06-23,2022-06-23,Standard Class,CG-38255,Home Office,West,Utah,Furniture,Furnishings,2,87.53,0.0,175.06,6.93
US-2024-000099,2024-11-15,2024-11-16,Standard Class,CG-17180,Consumer,Central,Wisconsin,Technology,Phones,2,162.0,0.0,453.6,102.77
US-2024-000100,2022-01-16,2022-01-19,Standard Class,CG-79806,Consumer,East,Massachusetts,Office Supplies,Labels,1,21.35,0.1,19.21,2.81
US-2024-000101,2023-04-17,2023-04-22,Standard Class,CG-85156,Home Office,West,Nevada,Furniture,Tables,5,376.64,0.3,1318.24,-27.96
US-2024-000102,2024-04-08,2024-04-14,Standard Class,CG-87184,Corporate,West,Oregon,Furniture,Tables,1,482.85,0.3,338.0,-12.79
US-2024-000103,2024-03-31,2024-04-01,Standard Class,CG-55793,Corporate,Central,Illinois,Office Supplies,Binders,1,2.23,0.15,1.89,0.26
US-2024-000104,2023-12-21,2023-12-23,Standard Class,CG-74764,Consumer,Central,Illinois,Furniture,Chairs,4,172.47,0.15,586.4,69.22
US-2024-000105,2024-08-08,2024-08-15,Second Class,CG-46002,Home Office,Central,Minnesota,Technology,Machines,1,1717.78,0.0,1717.78,275.36
US-2024-000106,2022-04-26,2022-05-01,Standard Class,CG-21835,Corporate,South,Alabama,Furniture,Bookcases,2,274.13,0.0,548.27,-2.51
US-2024-000107,2024-11-04,2024-11-10,Standard Class,CG-23566,Home Office,West,Nevada,Technology,Copiers,1,257.14,0.1,324.0,68.18
US-2024-000108,2023-12-05,2023-12-06,Standard Class,CG-47079,Consumer,West,Washington,Technology,Phones,7,246.13,0.1,2170.83,354.54
US-2024-000109,2024-03-04,2024-03-10,Second Class,CG-96057,Home Office,West,Colorado,Technology,Machines,1,857.83,0.0,857.83,156.31
US-2024-000110,2022-11-04,2022-11-09,Standard Class,CG-94343,Home Office,East,Massachusetts,Office Supplies,Paper,1,14.85,0.2,11.88,2.67
US-2024-000111,2023-11-04,2023-11-06,Second Class,CG-54791,Home Office,West,Utah,Technology,Phones,2,278.44,0.0,779.65,121.3
US-2024-000112,2024-09-22,2024-09-25,Standard Class,CG-96760,Consumer,East,New York,Office Supplies,Art,2,33.33,0.1,59.99,9.94
US-2024-000113,2023-11-21,2023-11-23,Standard Class,CG-68222,Consumer,East,Pennsylvania,Technology,Copiers,3,495.07,0.0,2079.28,306.77
US-2024-000114,2023-08-07,2023-08-14,Standard Class,CG-70513,Consumer,Central,Minnesota,Office Supplies,Envelopes,2,11.6,0.5,11.6,-5.76
US-2024-000115,2023-08-01,2023-08-07,Standard Class,CG-23446,Corporate,East,Pennsylvania,Technology,Copiers,2,857.14,0.0,1714.29,322.77
US-2024-000116,2024-11-22,2024-11-23,Standard Class,CG-13495,Consumer,Central,Ohio,Technology,Copiers,5,853.46,0.3,4181.94,-24.12
US-2024-000117,2024-04-29,2024-04-29,Standard Class,CG-53947,Corporate,East,Florida,Furniture,Furnishings,1,37.34,0.0,37.34,5.39
US-2024-000118,2022-10-27,2022-10-29,Standard Class,CG-38266,Corporate,East,New Jersey,Office Supplies,Storage,3,117.71,0.4,211.87,-10.39
US-2024-000119,2022-11-03,2022-11-09,Standard Class,CG-75513,Corporate,East,Massachusetts,Furniture,Bookcases,3,258.29,0.0,774.86,117.14
US-2024-000120,2022-02-03,2022-02-06,Second Class,CG-57265,Corporate,South,Georgia,Technology,Machines,3,1124.6,0.0,3373.81,849.57
US-2024-000121,2022-05-19,2022-05-19,Standard Class,CG-96127,Corporate,West,Utah,Office Supplies,Labels,4,9.98,0.0,39.93,7.15
US-2024-000122,2022-08-01,2022-08-06,Standard Class,CG-33891,Corporate,Central,Minnesota,Technology,Copiers,7,983.79,0.1,6197.86,827.53
US-2024-000123,2022-10-04,2022-10-05,Second Class,CG-62196,Corporate,West,Oregon,Furniture,Bookcases,1,292.57,0.0,292.57,-6.06
US-2024-000124,2024-08-27,2024-08-31,Standard Class,CG-62431,Home Office,East,Massachusetts,Office Supplies,Appliances,1,149.87,0.0,149.87,20.45
US-2024-000125,2024-06-19,2024-06-25,Standard Class,CG-20345,Consumer,South,Kentucky,Office Supplies,Labels,4,14.3,0.2,45.77,6.51
US-2024-000126,2024-05-31,2024-06-02,Standard Class,CG-56077,Corporate,West,California,Office Supplies,Fasteners,2,5.06,0.15,8.59,2.01
US-2024-000127,2024-07-04,2024-07-04,Second Class,CG-14081,Corporate,South,Tennessee,Technology,Accessories,2,91.73,0.3,128.42,-2.06
US-2024-000128,2022-10-20,2022-10-27,Standard Class,CG-58623,Consumer,East,New Jersey,Office Supplies,Labels,2,12.59,0.1,22.66,2.5
US-2024-000129,2024-02-01,2024-02-08,Second Class,CG-34385,Home Office,East,Virginia,Office Supplies,Paper,1,13.53,0.0,13.53,2.45
US-2024-000130,2024-10-19,2024-10-25,First Class,CG-36237,Consumer,Central,Minnesota,Office Supplies,Storage,1,88.31,0.15,75.07,8.06
US-2024-000131,2022-09-09,2022-09-11,First Class,CG-97535,Corporate,East,New Jersey,Office Supplies,Art,4,2.0,0.5,4.0,-1.99
US-2024-000132,2023-12-13,2023-12-14,Standard Class,CG-28202,Corporate,Central,Minnesota,Furniture,Chairs,1,199.4,0.0,199.4,4.51
US-2024-000133,2023-04-30,2023-05-07,Standard Class,CG-78903,Home Office,Central,Ohio,Technology,Copiers,1,719.04,0.8,143.81,-63.82
US-2024-000134,2024-04-21,2024-04-27,First Class,CG-82260,Consumer,East,Massachusetts,Technology,Accessories,2,53.13,0.15,90.33,12.88
US-2024-000135,2023-01-08,2023-01-10,Standard Class,CG-78012,Consumer,West,Arizona,Furniture,Furnishings,1,79.0,0.0,79.0,5.4
US-2024-000136,2023-08-05,2023-08-06,Standard Class,CG-86106,Home Office,Central,Illinois,Technology,Machines,3,743.33,0.0,2229.98,351.57
US-2024-000137,2022-11-12,2022-11-14,Second Class,CG-85598,Home Office,Central,Minnesota,Technology,Accessories,4,34.08,0.0,190.86,51.28
US-2024-000138,2023-06-27,2023-06-30,Second Class,CG-63227,Corporate,West,Nevada,Technology,Machines,3,1261.43,0.0,3784.3,767.91
US-2024-000139,2023-09-02,2023-09-09,Standard Class,CG-51853,Consumer,East,Florida,Office Supplies,Storage,2,144.42,0.0,288.84,66.89
US-2024-000140,2023-12-09,2023-12-15,Standard Class,CG-60351,Corporate,West,Oregon,Furniture,Tables,1,537.3,0.0,537.3,48.47
US-2024-000141,2024-05-06,2024-05-09,Same Day,CG-50441,Consumer,Central,Indiana,Technology,Machines,1,1199.78,0.0,1199.78,307.21
US-2024-000142,2024-10-15,2024-10-15,Standard Class,CG-98148,Corporate,South,North Carolina,Furniture,Furnishings,1,44.43,0.0,44.43,0.06
US-2024-000143,2024-08-21,2024-08-25,Standard Class,CG-35513,Consumer,South,North Carolina,Office Supplies,Labels,4,5.57,0.0,22.3,2.62
US-2024-000144,2024-01-13,2024-01-17,Standard Class,CG-83116,Home Office,South,Louisiana,Office Supplies,Art,1,21.08,0.0,21.08,1.42
US-2024-000145,2024-01-19,2024-01-21,Standard Class,CG-29521,Home Office,South,Louisiana,Furniture,Bookcases,1,418.28,0.2,334.62,33.51
US-2024-000146,2024-11-21,2024-11-23,Standard Class,CG-83783,Home Office,Central,Illinois,Office Supplies,Fasteners,2,3.72,0.1,6.69,0.75
US-2024-000147,2023-09-06,2023-09-13,First Class,CG-13492,Corporate,Central,Wisconsin,Furniture,Tables,2,341.51,0.2,546.41,37.27
US-2024-000148,2024-08-29,2024-09-02,Same Day,CG-29369,Home Office,East,New Jersey,Furniture,Tables,1,169.03,0.15,143.68,1.43
US-2024-000149,2023-05-12,2023-05-12,Standard Class,CG-90147,Home Office,West,Washington,Furniture,Tables,1,192.7,0.0,192.7,11.8
US-2024-000150,2024-08-23,2024-08-23,Second Class,CG-54869,Home Office,East,Virginia,Office Supplies,Storage,2,61.29,0.0,122.59,27.11
US-2024-000151,2023-12-27,2023-12-31,Second Class,CG-47880,Consumer,East,Massachusetts,Technology,Machines,1,1881.38,0.7,790.17,-284.09
US-2024-000152,2023-03-01,2023-03-08,Standard Class,CG-29198,Corporate,Central,Michigan,Furniture,Tables,1,445.34,0.2,356.27,17.63
US-2024-000153,2023-08-18,2023-08-18,Standard Class,CG-83664,Home Office,West,Oregon,Office Supplies,Fasteners,4,5.98,0.0,23.91,3.24
US-2024-000154,2023-07-11,2023-07-13,Standard Class,CG-23178,Home Office,East,Pennsylvania,Furniture,Chairs,2,167.25,0.2,267.59,18.06
US-2024-000155,2022-10-09,2022-10-09,Same Day,CG-17754,Consumer,South,Kentucky,Office Supplies,Storage,1,60.52,0.0,60.52,6.17
US-2024-000156,2022-07-03,2022-07-06,Standard Class,CG-34420,Home Office,West,Washington,Office Supplies,Binders,4,13.24,0.2,42.38,6.97
US-2024-000157,2023-08-16,2023-08-16,Standard Class,CG-71344,Home Office,West,Oregon,Office Supplies,Storage,2,127.47,0.5,127.47,-59.94
US-2024-000158,2023-07-13,2023-07-16,First Class,CG-98395,Corporate,East,New Jersey,Office Supplies,Fasteners,3,5.83,0.0,17.49,2.59
US-2024-000159,2023-01-31,2023-02-02,Second Class,CG-52415,Home Office,South,Alabama,Technology,Machines,1,1385.61,0.15,1177.77,248.47
US-2024-000160,2023-05-24,2023-05-24,Standard Class,CG-40972,Consumer,South,Tennessee,Office Supplies,Fasteners,2,7.01,0.1,12.62,2.1
US-2024-000161,2022-05-08,2022-05-09,Standard Class,CG-38947,Consumer,South,Kentucky,Technology,Machines,3,1476.61,0.15,3765.37,920.9
US-2024-000162,2023-03-25,2023-03-27,Standard Class,CG-42435,Corporate,Central,Ohio,Technology,Phones,4,188.61,0.3,528.1,-4.6
US-2024-000163,2022-06-17,2022-06-24,Standard Class,CG-31566,Corporate,West,Arizona,Furniture,Bookcases,1,332.06,0.1,298.86,-4.49
US-2024-000164,2023-11-03,2023-11-10,Standard Class,CG-17567,Consumer,South,Georgia,Technology,Phones,2,255.66,0.1,644.27,95.83
US-2024-000165,2024-08-04,2024-08-08,Second Class,CG-17897,Corporate,Central,Minnesota,Furniture,Chairs,1,163.9,0.0,163.9,11.93
US-2024-000166,2022-05-22,2022-05-29,Standard Class,CG-20518,Corporate,East,Pennsylvania,Technology,Phones,2,86.37,0.4,103.65,-3.23
US-2024-000167,2022-09-30,2022-10-05,Standard Class,CG-81361,Home Office,South,Louisiana,Furniture,Chairs,4,269.69,0.2,863.01,116.72
US-2024-000168,2024-05-18,2024-05-24,First Class,CG-14222,Consumer,South,Tennessee,Furniture,Furnishings,1,42.0,0.3,29.4,-0.34
US-2024-000169,2024-05-08,2024-05-08,Standard Class,CG-62725,Consumer,West,Arizona,Furniture,Tables,1,197.15,0.2,157.72,5.53
US-2024-000170,2024-06-17,2024-06-20,Standard Class,CG-98150,Consumer,East,Virginia,Office Supplies,Envelopes,1,9.95,0.1,8.96,0.86
US-2024-000171,2023-10-19,2023-10-22,Standard Class,CG-65994,Consumer,East,Florida,Office Supplies,Fasteners,5,10.52,0.4,31.56,-0.59
US-2024-000172,2024-10-12,2024-10-12,Same Day,CG-41584,Home Office,South,Louisiana,Office Supplies,Paper,2,26.37,0.0,52.74,10.29
US-2024-000173,2023-04-07,2023-04-11,First Class,CG-36651,Consumer,South,Georgia,Technology,Phones,6,322.32,0.1,1740.54,391.31
US-2024-000174,2023-11-08,2023-11-09,First Class,CG-19539,Corporate,West,Arizona,Technology,Copiers,1,939.18,0.0,1314.85,248.21
US-2024-000175,2023-01-21,2023-01-24,Standard Class,CG-41797,Corporate,Central,Texas,Furniture,Chairs,6,169.56,0.0,1017.33,139.47
US-2024-000176,2023-02-23,2023-03-01,First Class,CG-75179,Home Office,Central,Minnesota,Office Supplies,Paper,2,19.98,0.15,33.96,5.2
US-2024-000177,2024-08-12,2024-08-13,First Class,CG-12125,Home Office,South,Tennessee,Furniture,Furnishings,1,62.63,0.0,62.63,8.39
US-2024-000178,2023-06-19,2023-06-25,Standard Class,CG-74044,Consumer,Central,Illinois,Office Supplies,Envelopes,2,4.28,0.15,7.28,1.13
US-2024-000179,2024-10-01,2024-10-08,Standard Class,CG-78674,Corporate,East,Pennsylvania,Technology,Phones,43,156.31,0.4,4032.9,806.58
US-2024-000180,2022-03-11,2022-03-12,First Class,CG-38668,Home Office,West,Colorado,Furniture,Tables,1,460.01,0.0,460.01,61.49
US-2024-000181,2024-11-01,2024-11-08,Standard Class,CG-46010,Home Office,South,Kentucky,Office Supplies,Appliances,1,183.28,0.1,164.95,28.48
US-2024-000182,2023-08-11,2023-08-11,Standard Class,CG-56457,Home Office,South,North Carolina,Furniture,Bookcases,3,191.29,0.0,573.87,42.66
US-2024-000183,2023-07-02,2023-07-08,Standard Class,CG-14152,Corporate,South,Louisiana,Furniture,Chairs,1,145.22,0.8,29.04,-12.49
US-2024-000184,2022-07-11,2022-07-17,Standard Class,CG-53420,Home Office,South,Georgia,Technology,Accessories,3,104.62,0.0,313.86,75.5
US-2024-000185,2022-07-15,2022-07-15,Standard Class,CG-33508,Home Office,South,Tennessee,Furniture,Bookcases,3,154.92,0.0,464.76,4.37
